,url,address,zip_code,city,floor_area,plot_area,energy_label,price,image,combined_address,full_address
20,https://www.funda.nl/en/detail/koop/beugen/huis-gildestraat-20/43609608/,Gildestraat 20,5835 BW,Beugen,249 m²,971 m²,A,"€ 835,000 k.k.",https://cloud.funda.nl/valentina_media/195/727/652_720x480.jpg,"Gildestraat 20, 5835 BW Beugen Netherlands","Gildestraat 20, 5835 BW Beugen Netherlands"
21,https://www.funda.nl/en/detail/koop/ijzendijke/huis-pyramide-13/43609515/,Pyramide 13,4515 SL,IJzendijke,115 m²,"5,500 m²",D,"€ 649,000 k.k.",https://cloud.funda.nl/valentina_media/195/723/260_720x480.jpg,"Pyramide 13, 4515 SL IJzendijke Netherlands","Pyramide 13, 4515 SL IJzendijke Netherlands"
22,https://www.funda.nl/en/detail/koop/steenwijk/huis-onnaweg-5/43608234/,Onnaweg 5,8331 EZ,Steenwijk,221 m²,"4,182 m²",A,"€ 950,000 k.k.",https://cloud.funda.nl/valentina_media/195/708/892_720x480.jpg,"Onnaweg 5, 8331 EZ Steenwijk Netherlands","Onnaweg 5, 8331 EZ Steenwijk Netherlands"
23,https://www.funda.nl/en/detail/koop/ledeacker/huis-nullen-10/43608227/,Nullen 10,5846 AD,Ledeacker,141 m²,"13,940 m²",C,"€ 790,000 k.k.",https://cloud.funda.nl/valentina_media/195/708/230_720x480.jpg,"Nullen 10, 5846 AD Ledeacker Netherlands","Nullen 10, 5846 AD Ledeacker Netherlands"
24,https://www.funda.nl/en/detail/koop/valthermond/huis-musselweg-6/43608111/,Musselweg 6,7876 TK,Valthermond,175 m²,800 m²,A,"€ 525,000 k.k.",https://cloud.funda.nl/valentina_media/195/700/541_720x480.jpg,"Musselweg 6, 7876 TK Valthermond Netherlands","Musselweg 6, 7876 TK Valthermond Netherlands"
25,https://www.funda.nl/en/detail/koop/krimpen-aan-de-lek/huis-tiendweg-west-43/43608778/,Tiendweg-West 43,2931 LH,Krimpen aan de Lek,136 m²,"3,648 m²",C,"€ 800,000 k.k.",https://cloud.funda.nl/valentina_media/195/661/037_720x480.jpg,"Tiendweg-West 43, 2931 LH Krimpen aan de Lek Netherlands","Tiendweg-West 43, 2931 LH Krimpen aan de Lek Netherlands"
26,https://www.funda.nl/en/detail/koop/oostkapelle/huis-oosterpark-3/43608606/,Oosterpark 3,4356 GH,Oostkapelle,166 m²,"1,482 m²",E,"€ 849,000 k.k.",https://cloud.funda.nl/valentina_media/195/657/868_720x480.jpg,"Oosterpark 3, 4356 GH Oostkapelle Netherlands","Oosterpark 3, 4356 GH Oostkapelle Netherlands"
27,https://www.funda.nl/en/detail/koop/tytsjerk/huis-lytsegeast-49/43608666/,Lytsegeast 49,9255 LH,Tytsjerk,146 m²,"1,550 m²",A,"€ 575,000 k.k.",https://cloud.funda.nl/valentina_media/195/655/659_720x480.jpg,"Lytsegeast 49, 9255 LH Tytsjerk Netherlands","Lytsegeast 49, 9255 LH Tytsjerk Netherlands"
28,https://www.funda.nl/en/detail/koop/ophemert/huis-blankenburgsestraat-7-a/43608523/,Blankenburgsestraat 7 a,4061 AR,Ophemert,154 m²,"1,110 m²",A,"€ 795,000 k.k.",https://cloud.funda.nl/valentina_media/195/653/777_720x480.jpg,"Blankenburgsestraat 7 a, 4061 AR Ophemert Netherlands","Blankenburgsestraat 7 a, 4061 AR Ophemert Netherlands"
29,https://www.funda.nl/en/detail/koop/roermond/huis-burgemeester-geuljanslaan-64/43608425/,Burgemeester Geuljanslaan 64,6041 NC,Roermond,207 m²,755 m²,D,"€ 719,000 k.k.",https://cloud.funda.nl/valentina_media/195/648/982_720x480.jpg,"Burgemeester Geuljanslaan 64, 6041 NC Roermond Netherlands","Burgemeester Geuljanslaan 64, 6041 NC Roermond Netherlands"
30,https://www.funda.nl/en/detail/koop/wadenoijen/huis-bredestraat-21/43608414/,Bredestraat 21,4014 NA,Wadenoijen,164 m²,"1,663 m²",C,"€ 650,000 k.k.",https://cloud.funda.nl/valentina_media/195/648/586_720x480.jpg,"Bredestraat 21, 4014 NA Wadenoijen Netherlands","Bredestraat 21, 4014 NA Wadenoijen Netherlands"
31,https://www.funda.nl/en/detail/koop/berghem/huis-zevenbergseweg-7/43607360/,Zevenbergseweg 7,5351 PE,Berghem,174 m²,923 m²,D,"€ 698,000 k.k.",https://cloud.funda.nl/valentina_media/195/641/586_720x480.jpg,"Zevenbergseweg 7, 5351 PE Berghem Netherlands","Zevenbergseweg 7, 5351 PE Berghem Netherlands"
32,https://www.funda.nl/en/detail/koop/putten/huis-leembruggerweg-5/43607265/,Leembruggerweg 5,3882 RV,Putten,212 m²,"10,000 m²",C,"€ 975,000 k.k.",https://cloud.funda.nl/valentina_media/195/637/120_720x480.jpg,"Leembruggerweg 5, 3882 RV Putten Netherlands","Leembruggerweg 5, 3882 RV Putten Netherlands"
33,https://www.funda.nl/en/detail/koop/hoogeloon/huis-den-aard-2/43607174/,Den Aard 2,5528 ND,Hoogeloon,194 m²,"1,835 m²",C,"€ 725,000 k.k.",https://cloud.funda.nl/valentina_media/195/633/499_720x480.jpg,"Den Aard 2, 5528 ND Hoogeloon Netherlands","Den Aard 2, 5528 ND Hoogeloon Netherlands"
